"species_sample","limb_width","limb_length","observer","limb_volume"
"Drosophila melanogaster",0.00301516966203561,0.483222001261061,"Terry",3.45032567877077e-06
"Mus musculus",1.04822588329569,6.09595091892231,"Terry",5.26067051028241
"Mus musculus",1.06010858462459,6.19627453613847,"George",5.469167643562
"Mus musculus",0.945067315595203,6.34805780666732,"Terry",4.45303636383785
"Drosophila melanogaster",0.00287044645122572,0.499501782576259,"George",3.23240539280405e-06
"Mus musculus",0.961722640816986,5.80123572971225,"Terry",4.2141508258081
"Felis catus",5.37639054482121,17.6831280138083,"George",401.449193348762
"Giraffa camelopardalis",25.8505187261226,186.962177251872,"Terry",98125.5632795543
"Bombus pensylvanicus",0.00647468003993005,0.801628126374421,"Flora",2.63936498865532e-05
"Mus musculus",0.960370836826051,5.71796445885591,"George",4.14199204105951
"Bombus pensylvanicus",0.00713463275520545,0.767320408628801,"George",3.06767874655687e-05
"Bombus pensylvanicus",0.00597976099084568,0.831657567436092,"George",2.33561941354282e-05
"Felis catus",5.54125810723187,19.8539549010758,"Flora",478.799481925593
"Bombus pensylvanicus",0.00691736993651694,0.774164436251313,"Flora",2.90941117262843e-05
"Felis catus",3.92449686154092,19.2286173953084,"Flora",232.597965477908
"Bombus pensylvanicus",0.00617871116098484,0.827725718628899,"Terry",2.48183050310482e-05
"Giraffa camelopardalis",33.6465342721114,139.787264218594,"Flora",124290.5644524
"Giraffa camelopardalis",32.7536851924319,196.836028821651,"George",165849.748392216
"Drosophila melanogaster",0.00294160832237702,0.495548549588957,"George",3.36779603924693e-06
"Felis catus",5.76208617269902,20.3182017106797,"Flora",529.827683825885
"Felis catus",4.95216416937267,19.042055206607,"Flora",366.769968872108
"Giraffa camelopardalis",31.1298805898862,173.613772973799,"Flora",132138.376381639
"Giraffa camelopardalis",32.6602002955211,163.003539508348,"Terry",136560.344561608
"Bombus pensylvanicus",0.00700976373243962,0.811947167219355,"Terry",3.13346185724185e-05
"Felis catus",5.4024699528344,19.7488733401,"George",452.706704207716
"Giraffa camelopardalis",22.7763011453086,191.179372036914,"Terry",77892.798065003
"Bombus pensylvanicus",0.00670658036268493,0.772241610045988,"Terry",2.72800615546975e-05
"Bombus pensylvanicus",0.00677927142824068,0.815179038474891,"Flora",2.94244890469476e-05
"Drosophila melanogaster",0.00294860558658729,0.498530563093306,"Flora",3.40419976910608e-06
"Bombus pensylvanicus",0.00649809558481381,0.815721923753634,"Flora",2.70523007454678e-05
"Giraffa camelopardalis",34.6389491268854,189.31750927341,"George",178406.256041289
"Drosophila melanogaster",0.00308459434264124,0.497313444854992,"George",3.71634648236918e-06
"Drosophila melanogaster",0.00289232335618877,0.489430027537652,"Terry",3.21569004599417e-06
"Drosophila melanogaster",0.00292149080368794,0.508996879565906,"George",3.4120394857206e-06
"Felis catus",4.60042818025459,19.2549652920902,"Terry",320.058327656028
"Felis catus",5.54770145434139,19.6412707900821,"Terry",474.772579293153
"Mus musculus",0.924020969062986,6.6174012634797,"Flora",4.43752696590519
"Bombus pensylvanicus",0.00663690731158522,0.791261694448272,"George",2.73742058077278e-05
"Felis catus",5.66369856096576,22.5002906857329,"Flora",566.863210237269
"Felis catus",4.26755523788074,22.0163299761149,"George",314.914827472529
